"site","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","cons_present","network_ID","site_designation","site_status","Island","Side","pred_B_3root","prey_B_3root","DD_B_3root"
"SCI_PELICAN_E",-0.632570748841114,1.85810349302734,25,14,-1.78879359260908,2.49957666259689,-4.0237848884798,8.31300896655532,TRUE,27,"reference","reference","SCI","North",-1.21391071120064,-0.858426340189616,-1.5905411826128
"SCI_PELICAN_E",0,0,4,1,-0.631944858127563,1.26388971625513,-3.46738477406281,7.44414667139711,TRUE,37,"reference","reference","SCI","North",-0.85814312634859,0,-1.51356361573607
"SCI_PELICAN_E",-0.398069065681083,1.12567967283279,5,3,-2.06514544857297,2.19239206421887,-11.3264887149082,22.8420587994938,TRUE,46,"reference","reference","SCI","North",-1.27345483941938,-0.735618783017178,-2.24576908386818
"SCI_PELICAN_W",-0.669022646155832,3.29229339236708,5,2,-2.4355865872333,3.3366181005563,-3.72775368580183,5.45926424503677,TRUE,5,"reference","reference","SCI","North",-1.34545091356452,-0.874608323706703,-1.55053795906158
"SCI_PELICAN_W",0,0,3,1,-1.45100447675106,2.51321347574273,-4.04421665972489,6.05091072522505,TRUE,2,"reference","reference","SCI","North",-1.13211249614282,0,-1.59322876195226
"SCI_PELICAN_W",0.270276329923877,3.23260544717401,3,2,0.965011857783058,1.65085344725669,-5.21315746677881,6.6047026805514,TRUE,17,"reference","reference","SCI","North",0.988198559815138,0.646550826191785,-1.73393819949818
"SCI_PELICAN_W",-2.08137145950025,2.41270007278468,4,3,-1.06614752846118,0.877147417519261,-5.51039275239697,7.00518368920505,TRUE,16,"reference","reference","SCI","North",-1.02158012441652,-1.27678135409906,-1.76628528737905
"SCI_PELICAN_W",-0.101437643636526,1.19041562222919,16,7,-0.151196509658393,0.968818719389693,-1.79919617471403,4.03213282307502,TRUE,34,"reference","reference","SCI","North",-0.532738301690895,-0.466372625321588,-1.21625929705162
"SCI_PELICAN_W",0,0,3,1,-1.26894879680151,2.1978837882636,-3.93709856670378,5.98812524436862,TRUE,22,"reference","reference","SCI","North",-1.08263326250312,0,-1.5790362341606
"SCI_PELICAN_W",0,0,3,1,-0.267295882609161,0.462970049333033,-3.46344472335546,5.78816651620654,TRUE,11,"reference","reference","SCI","North",-0.644165443175901,0,-1.51299010207209
"SCI_PELICAN_W",0,0,2,0,0,0,-5.83431083318003,11.8373735977862,TRUE,6,"reference","reference","SCI","North",0,0,-1.80023770864583
"SCI_PELICAN_W",0,0,4,1,-0.33801515137837,0.67603030275674,-0.987452162655944,3.21767704492122,TRUE,30,"reference","reference","SCI","North",-0.696592385091415,0,-0.995799770322691
"SCI_PELICAN_W",0,0,3,1,0.459846261467157,0.796477088531718,-2.21720348959625,3.80475885681133,TRUE,18,"reference","reference","SCI","North",0.771858255108541,0,-1.3039727562143
"SCI_PELICAN_W",0,0,2,0,0,0,0.530074519495113,0.813934808005682,TRUE,35,"reference","reference","SCI","North",0,0,0.809305160097817
"SCI_PELICAN_W",0,0,5,1,-0.121283413499835,0.271197957128847,-1.4861921708663,4.91324023624075,TRUE,23,"reference","reference","SCI","North",-0.494994610695105,0,-1.14119096088302
"SCI_PELICAN_W",-0.165463802648172,3.11277597982861,25,10,-0.375220311481889,1.17679042627184,-1.10409979011928,5.20294176883757,TRUE,27,"reference","reference","SCI","North",-0.721265977125163,-0.548994087158072,-1.03356098965139
"SCI_PELICAN_W",0,0,5,1,-1.14961223292771,2.57061110059168,-3.36529896189927,6.79503671022056,TRUE,46,"reference","reference","SCI","North",-1.04757178355388,0,-1.49856142995546
"SCI_PELICAN_W",-0.161356487758165,1.44577556144916,11,4,-0.442062150487743,4.51719690262638,-4.80060956151838,10.9148715365775,TRUE,43,"reference","reference","SCI","North",-0.761776861942692,-0.544413405569577,-1.6869367337055
"SCI_PELICAN_W",0,0,4,1,0.0603196735716795,0.120639347143359,-3.01140787463244,6.23482336490556,TRUE,37,"reference","reference","SCI","North",0.392180799502248,0,-1.44407536934824
"SCI_PELICAN_W",0,0,2,0,0,0,0.695772979171692,0.526936657109944,TRUE,36,"reference","reference","SCI","North",0,0,0.886113159444716
"SCI_SCORPION_E",0.0514938546173137,0.480013433401003,4,3,0.0123329232409575,0.0100181917869523,0.268751624755406,0.743583325483404,TRUE,16,"SMR","MPA","SCI","North",0.231040798132217,0.372036143772293,0.645332740806639
"SCI_SCORPION_E",0,0,3,1,0.146621569803294,0.253956008384811,-0.487134837149185,2.40300771993395,TRUE,11,"SMR","MPA","SCI","North",0.527309936307033,0,-0.786833900316769
"SCI_SCORPION_E",0,0,3,1,-1.48947059646008,2.57983874944878,-1.91974323899099,3.38366929077299,TRUE,20,"SMR","MPA","SCI","North",-1.14202947111059,0,-1.2428375960121
"SCI_SCORPION_E",0,0,3,1,-3.50476460855333,6.07043037058362,-6.93726456628082,12.4855119200194,TRUE,2,"SMR","MPA","SCI","North",-1.51898313343786,0,-1.90719933148714
"SCI_SCORPION_E",0,0,5,1,-0.424190008090826,0.948517693467273,0.726431031875031,0.491452265347052,TRUE,46,"SMR","MPA","SCI","North",-0.751369354947506,0,0.898941567203627
"SCI_SCORPION_E",-0.491461422801199,2.53036679288303,16,12,0.849356168455359,1.42796890731089,-3.96267384678658,6.29124257820657,TRUE,10,"SMR","MPA","SCI","North",0.947029007687176,-0.789156511890308,-1.58244798204301
"SCI_SCORPION_E",0,0,4,1,-2.52066936268888,5.04133872537775,-8.466036775696,14.8573367244686,TRUE,30,"SMR","MPA","SCI","North",-1.36093889943952,0,-2.03810576245524
"SCI_SCORPION_E",-4.25238362096147,6.84943979600717,3,2,0.562153511394927,2.18963066139876,-14.0977575063161,20.5046140665259,TRUE,17,"SMR","MPA","SCI","North",0.825312284052247,-1.62010866783137,-2.41573900750774
"SCI_SCORPION_E",-0.322814928573456,1.32456172669016,5,2,-0.00848937225259336,0.0513768110504115,-2.9262733777148,5.02810677415399,TRUE,5,"SMR","MPA","SCI","North",-0.203997663152404,-0.685990134760436,-1.43033675504485
"SCI_SCORPION_E",-0.564667740775184,2.5725224392087,7,6,-0.642708618200774,2.78845551382952,-6.31650588604204,5.48223703599817,TRUE,45,"SMR","MPA","SCI","North",-0.862987902657015,-0.826540856260904,-1.84852630493103
