"Island","site_status","network_ID","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","pred_B_3root","prey_B_3root","DD_B_3root"
"Anacapa","all","43",-0.0478587339178576,1.07275862012141,11,9,-0.148228409593935,0.523660912561827,-0.977343067039574,2.24608754675983,-0.529229222066028,-0.363067243922756,-0.992389922644001
"Anacapa","all","45",0.410249857631751,1.72999341797724,7,6,0.911179287958337,1.62934243171236,0.161845748031043,1.85964105071254,0.969470532585735,0.743046762610687,0.544963101652567
"Anacapa","all","46",0.00789985615092106,0.514451731683093,5,4,-0.212219104814562,0.413209061258943,0.174551719054901,0.700252093079213,-0.596478543802003,0.199161961284583,0.558866456040189
"Anacapa","all","5",-0.0503725467583153,0.591159665043141,5,5,-0.229003616599514,0.674908333214212,-0.0384646913068203,0.372122266415116,-0.611806537985543,-0.369315869393743,-0.337562413863428
"Anacapa","all","6",0,0,2,1,0.29549345578036,0.41789085275708,0.44283052877045,0.621204613947441,0.66606399161807,0,0.762217971854401
"Anacapa","reference","11",0.0935755886643239,0.399903070793602,3,3,0.000599957849638659,0.220787137317304,-0.0564970493877565,0.505149947017057,0.0843412914288341,0.453998260947241,-0.38371483409916
"Anacapa","reference","14",0.00548436124915948,0.297617300648417,18,12,-0.160818320130483,0.560361205386508,0.599383196287978,0.67735621824043,-0.543807475993384,0.176349954192822,0.843143548208386
"Anacapa","reference","15",-0.41181681194403,0.929346536238708,2,2,0.155822336685024,0.0618653349713113,0.341052061063371,0.139623199136894,0.538116824734695,-0.743991586085349,0.698672355004723
"Anacapa","reference","16",0.202805938779476,0.583504683796963,4,4,0.072792196088055,0.0771836543304206,0.0854024243302567,0.689952068929793,0.417536975152706,0.587525728191015,0.440375753968706
"Anacapa","reference","17",-0.162213815459843,0.32882368635254,3,2,-0.232455514667329,0.219828817078105,0.131763722044504,0.604841313781355,-0.614865253196433,-0.545375904804865,0.508860356761489
"Anacapa","reference","18",0,0,3,1,0.162251148732245,0.281027233190662,-2.84543280367318,5.0634977777773,0.545417740751175,0,-1.41704218080276
"Anacapa","reference","2",0.172832991904521,0.368231201318856,3,2,-0.0217828540682667,0.0557583049730406,0.423568160239734,0.503366906371805,-0.279278987079087,0.557026105661052,0.751002014908122
"Anacapa","reference","20",0,0,3,1,-0.739725919071,1.28124287550656,0.276151451373102,1.05096690445078,-0.904392485887058,0,0.651202076457505
"Anacapa","reference","22",-0.424851475829546,1.04039819579643,3,2,0.493667181169457,0.428844164905616,-4.06721190387062,7.07994919868315,0.790335370704225,-0.751759705548071,-1.59624273373348
"Anacapa","reference","23",0.00842397647608409,0.220932554249828,5,3,0.194527061350886,0.275663377318933,0.397910134357931,0.614541636484666,0.579419813549141,0.203472497182353,0.735520870000378
